На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
0.39,5.950,336.15,54000,54000,54000,ОРЕНБУРГ,Арматура А800_,12мм.,"(6,7м)",ГОСТ 34028-2016,Арматура_,6.7
17.68,33.466,2265.68,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,30мм.,,"ГОСТ2590,4543-2016",Круг,06.03
4.13,33.300,3366.30,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,30мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,6
4.27,2891.351,381947.49,132100,132000,131900,ЛОБНЯ,Круг Ст45,310мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.88
7.45,2755.078,410203.64,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,310мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.65
7.70,325.003,20702.67,62200,62100,62000,ЛОБНЯ,Круг Ст3,95мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,5.85
7.80,2731.388,369283.67,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,310мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.61
2.47,193.768,35226.95,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,90 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.9
6.23,2745.807,362721.10,132100,132000,131900,ЛОБНЯ,Круг Ст35,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.35
4.58,244.510,94454.21,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,90,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.9
18.22,2809.441,379836.38,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,320мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.45
5.46,214.613,24573.19,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,90мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.3
4.16,214.613,25152.64,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,90мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.3
10.53,338.848,21584.59,62200,62100,62000,ЛОБНЯ,Круг Ст20,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.09
10.81,2796.998,369483.45,132100,132000,131900,ЛОБНЯ,Круг Ст20,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.42
3.45,328.276,25241.14,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,95мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.9
11.66,336.066,31620.41,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,95мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
17.89,33.577,2172.46,60200,60100,60000,ЛОБНЯ,Круг Ст45,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
0.93,335.509,22042.95,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,95мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
1.90,33.522,4250.59,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.20,29.304,3604.39,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.56,35.797,4539.12,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,30мм,НД,ГОСТ 7417-75,4543-2016,Круг
